n,type,epsilon,measured_time_microseconds,average_error,maximum_error
40,NK,0.01,70459431,0.00020592,0.0021365
40,NK,0.05,13746574,0.00103977,0.0134297
40,NK,0.1,6507797,0.00211302,0.0331611
40,NK,0.2,3371819,0.00412885,0.0528925
40,NK,0.5,1353664,0.0101593,0.124681
40,NK,0.7,947508,0.0145042,0.171281
40,ZKC,0.01,79134444,0.000262105,0.000368344
40,ZKC,0.05,15273390,0.00131579,0.00192886
40,ZKC,0.1,7901011,0.0026208,0.00407324
40,ZKC,0.2,3320024,0.00521513,0.00839922
40,ZKC,0.5,1329629,0.0127197,0.0190356
40,ZKC,0.7,925001,0.0178552,0.0268346
40,ZKW,0.01,455650,0.000291211,0.00314481
40,ZKW,0.05,95554,0.00294444,0.0166666
40,ZKW,0.1,47783,0.00609421,0.0333333
40,ZKW,0.2,22370,0.0115493,0.0666666
40,ZKW,0.5,11476,0.0154815,0.0802754
40,ZKW,0.7,7065,0.046063,0.126387
