type,measured_time,variable_number,clauses_number,population_size,tournament_size,num_elites,num_generations,parameter_changed,max_attempts,mutation_rate,crossover_rate
N,1034,20,78,500,4,3,50,none,5,0.05,0.9
N,1227,50,201,500,4,3,50,none,5,0.05,0.9
N,1539,75,310,500,4,3,50,none,5,0.05,0.9
M,1083,20,78,500,4,3,50,none,5,0.05,0.9
M,1319,50,201,500,4,3,50,none,5,0.05,0.9
M,1405,75,310,500,4,3,50,none,5,0.05,0.9
A,913,20,88,500,4,3,50,none,5,0.05,0.9
A,886,20,91,500,4,3,50,none,5,0.05,0.9
A,1660,100,430,500,4,3,50,none,5,0.05,0.9
Q,986,20,78,500,4,3,50,none,5,0.05,0.9
Q,1175,50,201,500,4,3,50,none,5,0.05,0.9
Q,1414,75,310,500,4,3,50,none,5,0.05,0.9
R,1073,20,78,500,4,3,50,none,5,0.05,0.9
R,1141,50,201,500,4,3,50,none,5,0.05,0.9
R,1394,75,310,500,4,3,50,none,5,0.05,0.9
